a0,a1,a2,a3,a4,a5,a6
76.05041,73.85341,36.11466,128.96225,129.87602,127.00571,128.32016
72.98072,71.12213,34.0825,143.93204,141.44469,125.70837,126.52945
79.797386,73.77084,34.48228,142.96191,134.54207,130.069,131.61821
79.54981,79.688324,34.71771,140.90138,131.48927,132.02985,137.85547
70.662094,69.66218,33.929153,137.63524,133.7761,131.5563,132.89531
69.690674,70.33266,30.665754,137.53207,135.42767,134.00075,137.1812
56.423603,95.39807,56.58121,110.70255,110.71844,107.24977,153.07042
61.2148,94.7981,50.41741,102.24957,117.35286,128.61296,149.61966
51.701412,106.0529,38.72787,68.430374,117.56866,95.80199,153.63414
44.270763,97.53676,37.068123,71.54096,108.596756,21.727219,146.58711
43.186565,94.18902,40.84388,58.09752,111.14343,19.399847,155.92111
29.381498,91.70225,38.02668,62.039856,103.659546,22.832499,153.94458
43.802544,83.36182,33.209225,51.15173,87.08722,19.77733,141.79929
48.450275,74.10211,32.34302,51.541157,79.991165,81.44166,138.2466
29.176695,98.48995,42.779945,58.957153,70.719826,26.584318,131.85774
44.178146,63.60976,35.122955,47.00622,71.60826,112.64117,144.82065
38.609184,85.44749,32.04677,47.58534,53.435104,143.92296,131.96065
25.099293,105.79692,34.16152,45.647205,40.68764,29.370646,136.94048
25.23368,109.484276,37.280266,50.917645,47.05797,33.48801,140.3512
34.608974,106.79516,37.543774,49.50152,45.8964,42.99488,124.73015
56.319412,107.75814,32.263264,41.888687,37.296906,62.190304,144.8717
21.763777,112.29581,34.423096,45.246742,39.329773,90.6047,138.83699
23.931345,118.35433,29.537111,39.52795,36.738914,26.64171,122.32844
26.131983,118.64184,29.418825,41.16627,41.292366,110.95057,126.09815
19.823174,105.457565,34.93982,47.95234,35.182465,111.678734,118.20351
25.60701,38.679367,30.414412,54.11028,43.387714,31.644094,115.180885
18.038603,105.621086,27.079094,44.274315,33.61499,86.153656,105.251976
20.680199,115.58469,28.789358,45.427277,38.583145,68.21439,111.844666
24.798018,121.56575,29.586046,44.029922,39.653507,40.27013,109.08488
54.386555,126.83129,28.013842,43.023693,40.22476,56.651817,118.93395
26.688677,117.42041,28.688723,43.52725,41.63145,29.405571,108.91725
18.389444,122.317696,27.075905,41.1492,36.082443,68.04234,123.85973
21.100927,118.72883,23.867584,43.837883,37.565334,125.14314,116.296165
21.522598,126.32287,27.561317,39.712776,37.19047,108.78647,133.70338
27.127607,59.836887,34.266815,46.5972,35.25205,129.09521,108.34253
31.478745,98.8907,28.393787,41.109802,39.792187,139.16423,133.29756
31.2088,98.26875,32.371265,43.967194,36.32749,129.6679,138.18341
31.266228,113.69137,29.425697,44.200382,43.92366,132.39032,138.27731
40.532097,97.97767,28.9365,45.9339,45.15945,127.11115,139.58553
32.063797,107.68916,30.916615,48.240536,43.388687,49.84844,134.13922
39.27505,90.61027,33.20119,49.855625,45.147644,69.109604,145.69887
31.542055,102.91682,27.647953,45.085514,42.42963,78.32786,137.09647
43.652794,84.925224,28.405298,45.66406,46.78265,146.40263,138.78482
40.590393,87.362434,28.283733,46.30971,48.043427,139.93318,134.33853
49.30816,70.94161,30.150068,49.92865,57.26238,137.15807,142.16173
41.210487,49.2674,30.230453,49.99608,74.53285,132.63222,151.62793
51.79435,101.75702,29.917122,51.46405,79.82614,58.91574,154.92096
53.495304,86.51311,26.356045,48.06045,69.85322,122.54134,141.80092
48.077847,69.74064,30.743004,52.627182,83.51205,104.91954,151.27611
49.68858,104.34496,32.79534,53.43589,95.59355,48.168594,156.24686
25.478605,96.92421,38.653072,62.650303,114.542755,33.107037,158.02371
35.576473,105.17458,38.374752,73.61945,124.71862,42.938274,149.93124
68.52974,96.60548,36.923603,73.93994,120.04931,137.60565,155.63676
52.929085,104.23598,33.95311,81.260666,111.79423,47.852997,153.7158
59.27957,116.68791,33.176926,86.960335,114.018196,154.3518,159.41338
61.041286,111.98994,39.828392,111.11221,124.530594,105.008835,158.58647
63.933025,113.87746,35.52007,127.87379,136.02322,144.4586,154.18391
59.786842,118.15182,30.12028,128.35422,136.33661,160.618,157.58116
57.913525,116.91954,32.575474,141.4612,130.4696,162.98312,158.38004
62.197735,118.33709,23.125906,135.19864,137.50934,173.7404,157.9877
59.189686,114.43889,20.976156,126.46391,145.36227,161.4649,149.50807
49.15512,116.66853,22.154163,123.789764,138.22234,148.73691,152.32663
57.266914,113.20069,43.518345,132.91684,124.728226,148.28305,152.16325
