a0,a1,a2,a3,a4,a5,a6
145.88211,147.99437,115.28244,106.66121,75.169975,152.43073,149.08597
137.37506,143.55392,111.8988,113.06719,69.667595,148.30704,146.53914
118.11641,127.23585,89.2732,85.11892,67.16897,118.01974,139.14603
108.713806,113.86379,103.61869,115.24048,88.13912,105.48262,141.49503
108.89589,111.13295,92.89028,111.70263,96.329475,121.84994,138.35983
100.808464,121.02982,87.26929,103.29136,95.43754,109.55227,149.01761
97.07548,109.49458,62.998978,86.98625,88.463165,146.7351,165.34793
112.8682,133.01102,57.03837,94.78176,88.11862,135.00983,156.88992
90.049614,97.72751,59.712933,97.98099,93.93355,150.7933,163.27705
85.34167,97.91446,49.580914,81.80231,63.349064,155.22215,165.51924
112.29462,123.38886,41.615177,83.02741,68.6102,155.00693,162.50154
98.75561,132.8144,46.05659,79.71692,72.720146,128.80667,159.65337
92.907524,139.38142,63.879704,87.634415,56.199768,124.43231,166.01755
113.629875,133.79425,79.77822,99.27241,36.757744,143.53827,158.70894
115.826385,132.82092,84.21506,114.826965,65.75939,144.19537,157.1285
81.704475,126.80473,28.939274,148.02634,145.66873,110.00237,149.01064
23.30248,39.20343,32.106678,151.28363,150.87064,55.47497,70.31268
33.487415,57.449566,53.809418,142.23305,137.33128,64.44246,87.54423
24.979147,86.54154,54.03793,43.50132,45.975967,59.029736,116.02251
23.154463,77.463356,98.329956,81.07306,65.82815,56.082043,104.87509
42.112804,66.38395,42.218525,153.0391,150.07352,70.04139,91.35867
21.00107,32.426777,19.853231,160.49141,162.07997,54.97794,60.085922
18.966806,29.754492,20.175549,146.25616,158.83868,49.76969,53.801903
22.382853,27.62594,23.051903,134.01648,144.25746,57.381863,55.413414
24.858587,35.39478,40.7101,109.43304,112.50463,55.862244,58.14081
46.758453,67.35439,37.72995,75.683,72.52995,123.7903,161.65517
44.82326,47.342934,40.456566,75.7572,80.835724,136.66756,164.50471
71.06824,95.72998,54.50789,84.86486,80.595795,143.24838,162.98285
92.93583,115.47568,58.752075,83.77921,77.22949,140.36774,162.25255
85.889885,125.04902,65.47303,78.59437,69.80632,118.36747,161.62727
102.10959,135.38316,70.89146,73.76778,58.82864,125.707436,158.11636
85.47022,134.22656,90.322174,99.0929,84.03926,104.86971,158.67519
110.76569,144.42511,97.21267,105.7496,78.55945,125.21315,157.26367
104.811745,139.31833,99.80196,86.74239,73.94371,117.401794,150.18706
127.24136,133.68552,111.74491,103.12442,64.777306,133.28925,137.7326
130.54213,137.81892,112.491165,128.47481,99.549835,136.83911,139.99641
136.52802,134.19208,105.80813,91.46454,123.72085,140.7784,135.64119
155.66019,147.51692,122.98318,42.75726,141.93413,156.89528,143.34439
146.4096,144.2732,116.76776,50.91957,134.75594,145.53195,139.15186
146.57117,151.9752,121.16352,42.093994,140.89886,145.44092,138.66496
158.94923,155.7703,121.058105,35.614616,139.14885,158.93272,149.13379
153.98235,147.53465,109.794014,51.70768,118.1416,153.23007,147.10645
149.8419,147.85594,110.45879,120.3249,90.81502,151.0355,147.35529
148.93991,143.43813,108.29677,108.26805,88.88124,151.41241,138.45396
140.39067,140.32874,113.05706,106.363884,61.378235,149.18858,141.06187
122.643936,124.31843,103.45008,100.293465,69.610695,129.45096,136.34773
111.69524,112.695946,99.10084,97.504875,78.24603,112.19798,135.67445
103.06387,117.546524,98.507614,106.342735,90.05214,108.49566,132.32181
100.06961,118.93618,89.7597,114.54661,104.353,111.00495,143.81096
99.39512,118.28915,66.43694,77.560104,76.07961,120.28697,158.547
